Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Australia,33456.0,41728.0,51614.0,54252.0,57940.0,63554.0,74496.0,81281.0,110928.0,92674.0,20283.0,4421.0,30924.0,67436.0,89573.0,94667.0
Bangladesh,,,,,,,,,,,,,,,,55110.0
Canada,21123.0,24671.0,29329.0,,,,44122.0,,,48729.0,12436.0,5079.0,26845.0,43944.0,,
China,,,,54288.0,128166.0,214783.0,271577.0,268952.0,265965.0,167863.0,26147.0,,,68789.0,131681.0,121671.0
France,31285.0,48695.0,56863.0,64388.0,78883.0,86126.0,96440.0,97282.0,106449.0,87623.0,24838.0,6549.0,35467.0,56251.0,88772.0,101771.0
Germany,45727.0,55882.0,71642.0,85470.0,102977.0,115868.0,133275.0,130227.0,156888.0,134899.0,34507.0,12442.0,55542.0,102539.0,136084.0,131259.0
India,126882.0,171374.0,176340.0,208795.0,242734.0,316247.0,356729.0,384628.0,424887.0,355002.0,89357.0,56268.0,123004.0,302844.0,416974.0,474796.0
Japan,14352.0,,,,39136.0,39358.0,,,,,,,,,,
Maldives,35791.0,44018.0,47572.0,79474.0,86359.0,90617.0,95167.0,79371.0,76108.0,60278.0,,6272.0,18880.0,37328.0,47222.0,
Netherlands,17861.0,23966.0,26754.0,,,,,51148.0,57160.0,,,,,,50116.0,59589.0
Poland,,,,,,,,,,,,,15195.0,,,43119.0
Russia,,21385.0,28402.0,51235.0,69718.0,61846.0,58176.0,59191.0,64497.0,86549.0,49397.0,16894.0,91272.0,197498.0,201920.0,158593.0
UK,105496.0,106082.0,114218.0,137416.0,144168.0,161845.0,188159.0,201879.0,254176.0,198776.0,55455.0,16646.0,85187.0,130088.0,178339.0,191742.0
USA,19093.0,24386.0,29907.0,34690.0,39371.0,47211.0,54254.0,57479.0,75308.0,68832.0,16842.0,6124.0,22230.0,46344.0,59532.0,57449.0
Ukraine,,,,38607.0,,,,,,,17169.0,7037.0,,,,
