Year,Country,Arrivals,ISO3,YoY_pct,Segment,Rank
2010,Australia,33456,AUS,,Mature,5
2011,Australia,41728,AUS,24.73,Mature,6
2012,Australia,51614,AUS,23.69,Mature,5
2013,Australia,54252,AUS,5.11,Mature,7
2014,Australia,57940,AUS,6.8,Mature,8
2015,Australia,63554,AUS,9.69,Mature,7
2016,Australia,74496,AUS,17.22,Mature,7
2017,Australia,81281,AUS,9.11,Mature,6
2018,Australia,110928,AUS,36.47,Mature,5
2019,Australia,92674,AUS,-16.46,Mature,5
2020,Australia,20283,AUS,-78.11,Mature,7
2021,Australia,4421,AUS,-78.2,Mature,10
2022,Australia,30924,AUS,599.48,Mature,6
2023,Australia,67436,AUS,118.07,Mature,6
2024,Australia,89573,AUS,32.83,Mature,6
2025,Australia,94667,AUS,5.69,Mature,7
2025,Bangladesh,55110,BGD,,Emerging,10
2010,Canada,21123,CAN,,Mature,7
2011,Canada,24671,CAN,16.8,Mature,7
2012,Canada,29329,CAN,18.88,Mature,8
2016,Canada,44122,CAN,50.44,Mature,10
2019,Canada,48729,CAN,10.44,Mature,10
2020,Canada,12436,CAN,-74.48,Mature,10
2021,Canada,5079,CAN,-59.16,Mature,9
2022,Canada,26845,CAN,428.55,Mature,7
2023,Canada,43944,CAN,63.7,Mature,9
2013,China,54288,CHN,,Emerging,6
2014,China,128166,CHN,136.09,Emerging,3
2015,China,214783,CHN,67.58,Emerging,2
2016,China,271577,CHN,26.44,Emerging,2
2017,China,268952,CHN,-0.97,Emerging,2
2018,China,265965,CHN,-1.11,Emerging,2
2019,China,167863,CHN,-36.89,Emerging,3
2020,China,26147,CHN,-84.42,Emerging,5
2023,China,68789,CHN,163.09,Emerging,5
2024,China,131681,CHN,91.43,Emerging,5
2025,China,121671,CHN,-7.6,Emerging,5
2010,France,31285,FRA,,Mature,6
2011,France,48695,FRA,55.65,Mature,4
2012,France,56863,FRA,16.77,Mature,4
2013,France,64388,FRA,13.23,Mature,5
2014,France,78883,FRA,22.51,Mature,6
2015,France,86126,FRA,9.18,Mature,6
2016,France,96440,FRA,11.98,Mature,5
2017,France,97282,FRA,0.87,Mature,5
2018,France,106449,FRA,9.42,Mature,6
2019,France,87623,FRA,-17.69,Mature,6
2020,France,24838,FRA,-71.65,Mature,6
2021,France,6549,FRA,-73.63,Mature,6
2022,France,35467,FRA,441.56,Mature,5
2023,France,56251,FRA,58.6,Mature,7
2024,France,88772,FRA,57.81,Mature,7
2025,France,101771,FRA,14.64,Mature,6
2010,Germany,45727,DEU,,Mature,3
2011,Germany,55882,DEU,22.21,Mature,3
2012,Germany,71642,DEU,28.2,Mature,3
2013,Germany,85470,DEU,19.3,Mature,3
2014,Germany,102977,DEU,20.48,Mature,4
2015,Germany,115868,DEU,12.52,Mature,4
2016,Germany,133275,DEU,15.02,Mature,4
2017,Germany,130227,DEU,-2.29,Mature,4
2018,Germany,156888,DEU,20.47,Mature,4
2019,Germany,134899,DEU,-14.02,Mature,4
2020,Germany,34507,DEU,-74.42,Mature,4
2021,Germany,12442,DEU,-63.94,Mature,4
2022,Germany,55542,DEU,346.41,Mature,4
2023,Germany,102539,DEU,84.62,Mature,4
2024,Germany,136084,DEU,32.71,Mature,4
2025,Germany,131259,DEU,-3.55,Mature,4
2010,India,126882,IND,,Mature,1
2011,India,171374,IND,35.07,Mature,1
2012,India,176340,IND,2.9,Mature,1
2013,India,208795,IND,18.4,Mature,1
2014,India,242734,IND,16.25,Mature,1
2015,India,316247,IND,30.29,Mature,1
2016,India,356729,IND,12.8,Mature,1
2017,India,384628,IND,7.82,Mature,1
2018,India,424887,IND,10.47,Mature,1
2019,India,355002,IND,-16.45,Mature,1
2020,India,89357,IND,-74.83,Mature,1
2021,India,56268,IND,-37.03,Mature,1
2022,India,123004,IND,118.6,Mature,1
2023,India,302844,IND,146.21,Mature,1
2024,India,416974,IND,37.69,Mature,1
2025,India,474796,IND,13.87,Mature,1
2010,Japan,14352,JPN,,Declining,10
2014,Japan,39136,JPN,172.69,Declining,10
2015,Japan,39358,JPN,0.57,Declining,10
2010,Maldives,35791,MDV,,Declining,4
2011,Maldives,44018,MDV,22.99,Declining,5
2012,Maldives,47572,MDV,8.07,Declining,6
2013,Maldives,79474,MDV,67.06,Declining,4
2014,Maldives,86359,MDV,8.66,Declining,5
2015,Maldives,90617,MDV,4.93,Declining,5
2016,Maldives,95167,MDV,5.02,Declining,6
2017,Maldives,79371,MDV,-16.6,Declining,7
2018,Maldives,76108,MDV,-4.11,Declining,7
2019,Maldives,60278,MDV,-20.8,Declining,9
2021,Maldives,6272,MDV,-89.59,Declining,7
2022,Maldives,18880,MDV,201.02,Declining,9
2023,Maldives,37328,MDV,97.71,Declining,10
2024,Maldives,47222,MDV,26.51,Declining,10
2010,Netherlands,17861,NLD,,Mature,9
2011,Netherlands,23966,NLD,34.18,Mature,9
2012,Netherlands,26754,NLD,11.63,Mature,10
2017,Netherlands,51148,NLD,91.18,Mature,10
2018,Netherlands,57160,NLD,11.75,Mature,10
2024,Netherlands,50116,NLD,-12.32,Mature,9
2025,Netherlands,59589,NLD,18.9,Mature,8
2022,Poland,15195,POL,,Emerging,10
2025,Poland,43119,POL,183.77,Emerging,11
2011,Russia,21385,RUS,,Mature,10
2012,Russia,28402,RUS,32.81,Mature,9
2013,Russia,51235,RUS,80.39,Mature,8
2014,Russia,69718,RUS,36.07,Mature,7
2015,Russia,61846,RUS,-11.29,Mature,8
2016,Russia,58176,RUS,-5.93,Mature,8
2017,Russia,59191,RUS,1.74,Mature,8
2018,Russia,64497,RUS,8.96,Mature,9
2019,Russia,86549,RUS,34.19,Mature,7
2020,Russia,49397,RUS,-42.93,Mature,3
2021,Russia,16894,RUS,-65.8,Mature,2
2022,Russia,91272,RUS,440.26,Mature,2
2023,Russia,197498,RUS,116.38,Mature,2
2024,Russia,201920,RUS,2.24,Mature,2
2025,Russia,158593,RUS,-21.46,Mature,3
2010,UK,105496,GBR,,Mature,2
2011,UK,106082,GBR,0.56,Mature,2
2012,UK,114218,GBR,7.67,Mature,2
2013,UK,137416,GBR,20.31,Mature,2
2014,UK,144168,GBR,4.91,Mature,2
2015,UK,161845,GBR,12.26,Mature,3
2016,UK,188159,GBR,16.26,Mature,3
2017,UK,201879,GBR,7.29,Mature,3
2018,UK,254176,GBR,25.91,Mature,3
2019,UK,198776,GBR,-21.8,Mature,2
2020,UK,55455,GBR,-72.1,Mature,2
2021,UK,16646,GBR,-69.98,Mature,3
2022,UK,85187,GBR,411.76,Mature,3
2023,UK,130088,GBR,52.71,Mature,3
2024,UK,178339,GBR,37.09,Mature,3
2025,UK,191742,GBR,7.52,Mature,2
2010,USA,19093,USA,,Mature,8
2011,USA,24386,USA,27.72,Mature,8
2012,USA,29907,USA,22.64,Mature,7
2013,USA,34690,USA,15.99,Mature,10
2014,USA,39371,USA,13.49,Mature,9
2015,USA,47211,USA,19.91,Mature,9
2016,USA,54254,USA,14.92,Mature,9
2017,USA,57479,USA,5.94,Mature,9
2018,USA,75308,USA,31.02,Mature,8
2019,USA,68832,USA,-8.6,Mature,8
2020,USA,16842,USA,-75.53,Mature,9
2021,USA,6124,USA,-63.64,Mature,8
2022,USA,22230,USA,263.0,Mature,8
2023,USA,46344,USA,108.48,Mature,8
2024,USA,59532,USA,28.46,Mature,8
2025,USA,57449,USA,-3.5,Mature,9
2013,Ukraine,38607,UKR,,Declining,9
2020,Ukraine,17169,UKR,-55.53,Declining,8
2021,Ukraine,7037,UKR,-59.01,Declining,5
