location,aspect,avg_polarity,avg_confidence
Bentota Beach,accessibility,0.253,0.281
Bentota Beach,accommodation,0.202,0.247
Bentota Beach,cleanliness,0.36,0.372
Bentota Beach,crowd,0.24,0.247
Bentota Beach,food,0.394,0.407
Bentota Beach,safety,0.249,0.285
Bentota Beach,transport,0.126,0.154
Bentota Beach,view,0.404,0.411
Dambulla Cave Temple,accessibility,0.193,0.227
Dambulla Cave Temple,accommodation,0.166,0.236
Dambulla Cave Temple,cleanliness,0.248,0.295
Dambulla Cave Temple,crowd,0.166,0.23
Dambulla Cave Temple,food,0.348,0.397
Dambulla Cave Temple,safety,0.244,0.244
Dambulla Cave Temple,transport,0.178,0.2
Dambulla Cave Temple,view,0.494,0.515
Diyaluma Falls,accessibility,0.238,0.258
Diyaluma Falls,accommodation,0.248,0.283
Diyaluma Falls,cleanliness,-0.142,0.258
Diyaluma Falls,crowd,0.124,0.198
Diyaluma Falls,food,0.369,0.384
Diyaluma Falls,safety,0.302,0.302
Diyaluma Falls,transport,0.207,0.237
Diyaluma Falls,view,0.383,0.397
Galle Fort,accessibility,0.293,0.312
Galle Fort,accommodation,0.243,0.277
Galle Fort,cleanliness,0.333,0.348
Galle Fort,crowd,0.188,0.212
Galle Fort,food,0.339,0.357
Galle Fort,safety,0.27,0.291
Galle Fort,transport,0.203,0.221
Galle Fort,view,0.442,0.445
Hikkaduwa Beach,accessibility,0.184,0.236
Hikkaduwa Beach,accommodation,0.186,0.223
Hikkaduwa Beach,cleanliness,0.262,0.336
Hikkaduwa Beach,crowd,0.167,0.183
Hikkaduwa Beach,food,0.333,0.352
Hikkaduwa Beach,safety,0.198,0.305
Hikkaduwa Beach,transport,0.141,0.172
Hikkaduwa Beach,view,0.287,0.312
Horton Plains National Park,accessibility,0.22,0.248
Horton Plains National Park,accommodation,0.191,0.226
Horton Plains National Park,cleanliness,0.245,0.271
Horton Plains National Park,crowd,0.135,0.187
Horton Plains National Park,food,0.328,0.346
Horton Plains National Park,safety,0.169,0.259
Horton Plains National Park,transport,0.188,0.233
Horton Plains National Park,view,0.35,0.367
Jaya Sri Maha Bodhi,accessibility,0.114,0.173
Jaya Sri Maha Bodhi,accommodation,0.202,0.202
